Agartala,22/10/2019,23/10/2019,0
Agra,22/10/2019,23/10/2019,1
Ahmedabad,22/10/2019,23/10/2019,9
Ahmednagar,22/10/2019,23/10/2019,0
Ajmer,22/10/2019,23/10/2019,0
Alappuzha,22/10/2019,23/10/2019,0
Aligarh,22/10/2019,23/10/2019,0
Allahabad,22/10/2019,23/10/2019,1
Alwar,22/10/2019,23/10/2019,0
Ambala,22/10/2019,23/10/2019,0
Amravati,22/10/2019,23/10/2019,0
Amritsar,22/10/2019,23/10/2019,1
Anantapur,22/10/2019,23/10/2019,0
Asansol,22/10/2019,23/10/2019,0
Aurangabad,22/10/2019,23/10/2019,0
Baddi,22/10/2019,23/10/2019,0
Bangalore,22/10/2019,23/10/2019,48
Banglore,22/10/2019,23/10/2019,0
Bareilly,22/10/2019,23/10/2019,0
Bathinda,22/10/2019,23/10/2019,0
Belgaum,22/10/2019,23/10/2019,0
Bellary,22/10/2019,23/10/2019,0
Bhilai,22/10/2019,23/10/2019,0
Bhilwara,22/10/2019,23/10/2019,0
Bhiwadi,22/10/2019,23/10/2019,0
Bhopal,22/10/2019,23/10/2019,4
Bhubaneswar,22/10/2019,23/10/2019,1
Bikaner,22/10/2019,23/10/2019,0
Bilaspur,22/10/2019,23/10/2019,0
Calicut,22/10/2019,23/10/2019,0
Chandigarh,22/10/2019,23/10/2019,6
Chennai,22/10/2019,23/10/2019,33
Chikmagalur,22/10/2019,23/10/2019,0
Coimbatore,22/10/2019,23/10/2019,9
Cooch Behar,22/10/2019,23/10/2019,0
Coonoor,22/10/2019,23/10/2019,0
Coorg,22/10/2019,23/10/2019,0
Cuttack,22/10/2019,23/10/2019,0
Darjeeling,22/10/2019,23/10/2019,0
Dehradun,22/10/2019,23/10/2019,5
Delhi,22/10/2019,23/10/2019,33
Dewas,22/10/2019,23/10/2019,0
Dhanbad,22/10/2019,23/10/2019,0
Durg,22/10/2019,23/10/2019,0
Durgapur,22/10/2019,23/10/2019,0
erode,22/10/2019,23/10/2019,0
Faridabad,22/10/2019,23/10/2019,2
Gandhinagar,22/10/2019,23/10/2019,0
Gangtok,22/10/2019,23/10/2019,0
Ghaziabad,22/10/2019,23/10/2019,6
Goa,22/10/2019,23/10/2019,16
Gokarna,22/10/2019,23/10/2019,0
Gorakhpur,22/10/2019,23/10/2019,0
Guntur,22/10/2019,23/10/2019,0
Gurgaon,22/10/2019,23/10/2019,32
Guwahati,22/10/2019,23/10/2019,2
Gwalior,22/10/2019,23/10/2019,0
Haldia,22/10/2019,23/10/2019,0
Haldwani,22/10/2019,23/10/2019,0
Haridwar,22/10/2019,23/10/2019,1
Hisar,22/10/2019,23/10/2019,0
Hoshiarpur,22/10/2019,23/10/2019,0
Hospet,22/10/2019,23/10/2019,0
Hubli-Dharwad,22/10/2019,23/10/2019,1
Hyderabad,22/10/2019,23/10/2019,29
Indore,22/10/2019,23/10/2019,4
Jabalpur,22/10/2019,23/10/2019,1
Jaigaon,22/10/2019,23/10/2019,0
Jaipur,22/10/2019,23/10/2019,5
Jalandhar,22/10/2019,23/10/2019,1
Jammu,22/10/2019,23/10/2019,1
Jamnagar,22/10/2019,23/10/2019,0
Jamshedpur,22/10/2019,23/10/2019,2
Jhansi,22/10/2019,23/10/2019,0
Jharsuguda,22/10/2019,23/10/2019,0
Jodhpur,22/10/2019,23/10/2019,0
Jorhat,22/10/2019,23/10/2019,0
Kakinada,22/10/2019,23/10/2019,0
