Agartala,27/10/2019,28/10/2019,0
Agra,27/10/2019,28/10/2019,1
Ahmedabad,27/10/2019,28/10/2019,10
Ahmednagar,27/10/2019,28/10/2019,0
Ajmer,27/10/2019,28/10/2019,0
Alappuzha,27/10/2019,28/10/2019,0
Aligarh,27/10/2019,28/10/2019,0
Allahabad,27/10/2019,28/10/2019,1
Alwar,27/10/2019,28/10/2019,0
Ambala,27/10/2019,28/10/2019,0
Amravati,27/10/2019,28/10/2019,0
Amritsar,27/10/2019,28/10/2019,1
Anantapur,27/10/2019,28/10/2019,0
Asansol,27/10/2019,28/10/2019,0
Aurangabad,27/10/2019,28/10/2019,0
Baddi,27/10/2019,28/10/2019,0
Bangalore,27/10/2019,28/10/2019,48
Banglore,27/10/2019,28/10/2019,0
Bareilly,27/10/2019,28/10/2019,0
Bathinda,27/10/2019,28/10/2019,0
Belgaum,27/10/2019,28/10/2019,0
Bellary,27/10/2019,28/10/2019,0
Bhilai,27/10/2019,28/10/2019,0
Bhilwara,27/10/2019,28/10/2019,0
Bhiwadi,27/10/2019,28/10/2019,0
Bhopal,27/10/2019,28/10/2019,4
Bhubaneswar,27/10/2019,28/10/2019,1
Bikaner,27/10/2019,28/10/2019,0
Bilaspur,27/10/2019,28/10/2019,0
Calicut,27/10/2019,28/10/2019,0
Chandigarh,27/10/2019,28/10/2019,6
Chennai,27/10/2019,28/10/2019,33
Chikmagalur,27/10/2019,28/10/2019,0
Coimbatore,27/10/2019,28/10/2019,9
Cooch Behar,27/10/2019,28/10/2019,0
Coonoor,27/10/2019,28/10/2019,0
Coorg,27/10/2019,28/10/2019,0
Cuttack,27/10/2019,28/10/2019,0
Darjeeling,27/10/2019,28/10/2019,0
Dehradun,27/10/2019,28/10/2019,5
Delhi,27/10/2019,28/10/2019,33
Dewas,27/10/2019,28/10/2019,0
Dhanbad,27/10/2019,28/10/2019,0
Durg,27/10/2019,28/10/2019,0
Durgapur,27/10/2019,28/10/2019,0
erode,27/10/2019,28/10/2019,0
Faridabad,27/10/2019,28/10/2019,2
Gandhinagar,27/10/2019,28/10/2019,0
Gangtok,27/10/2019,28/10/2019,0
Ghaziabad,27/10/2019,28/10/2019,6
Goa,27/10/2019,28/10/2019,15
Gokarna,27/10/2019,28/10/2019,0
Gorakhpur,27/10/2019,28/10/2019,0
Guntur,27/10/2019,28/10/2019,0
Gurgaon,27/10/2019,28/10/2019,32
Guwahati,27/10/2019,28/10/2019,2
Gwalior,27/10/2019,28/10/2019,0
Haldia,27/10/2019,28/10/2019,0
Haldwani,27/10/2019,28/10/2019,0
Haridwar,27/10/2019,28/10/2019,1
Hisar,27/10/2019,28/10/2019,0
Hoshiarpur,27/10/2019,28/10/2019,0
Hospet,27/10/2019,28/10/2019,0
Hubli-Dharwad,27/10/2019,28/10/2019,1
Hyderabad,27/10/2019,28/10/2019,29
Indore,27/10/2019,28/10/2019,4
Jabalpur,27/10/2019,28/10/2019,1
Jaigaon,27/10/2019,28/10/2019,0
Jaipur,27/10/2019,28/10/2019,5
Jalandhar,27/10/2019,28/10/2019,1
Jammu,27/10/2019,28/10/2019,1
Jamnagar,27/10/2019,28/10/2019,0
Jamshedpur,27/10/2019,28/10/2019,1
Jhansi,27/10/2019,28/10/2019,0
Jharsuguda,27/10/2019,28/10/2019,0
Jodhpur,27/10/2019,28/10/2019,0
Jorhat,27/10/2019,28/10/2019,0
Kakinada,27/10/2019,28/10/2019,0
Kalimpong,27/10/2019,28/10/2019,0
Kanpur,27/10/2019,28/10/2019,2
Karimnagar,27/10/2019,28/10/2019,0
Karnal,27/10/2019,28/10/2019,0
Kashipur,27/10/2019,28/10/2019,0
Katra,27/10/2019,28/10/2019,0
Khammam,27/10/2019,28/10/2019,0
Khekkady,27/10/2019,28/10/2019,0
Kochi,27/10/2019,28/10/2019,2
Kodaikanal,27/10/2019,28/10/2019,0
Kolhapur,27/10/2019,28/10/2019,1
Kolkata,27/10/2019,28/10/2019,11
Kollam,27/10/2019,28/10/2019,0
Kota,27/10/2019,28/10/2019,0
Kottayam,27/10/2019,28/10/2019,0
Kumbhalgarh,27/10/2019,28/10/2019,0
Lonavala,27/10/2019,28/10/2019,1
Lucknow,27/10/2019,28/10/2019,9
Ludhiana,27/10/2019,28/10/2019,1
Madurai,27/10/2019,28/10/2019,0
Mahabalipuram,27/10/2019,28/10/2019,0
Manali,27/10/2019,28/10/2019,0
Manesar,27/10/2019,28/10/2019,0
Mangalore,27/10/2019,28/10/2019,1
Mathura,27/10/2019,28/10/2019,0
Meerut,27/10/2019,28/10/2019,0
Mohali,27/10/2019,28/10/2019,1
Mount-Abu,27/10/2019,28/10/2019,0
Mumbai,27/10/2019,28/10/2019,18
Mussoorie,27/10/2019,28/10/2019,0
Muzaffarpur,27/10/2019,28/10/2019,0
Mysore,27/10/2019,28/10/2019,1
Nagpur,27/10/2019,28/10/2019,6
Nashik,27/10/2019,28/10/2019,0
Nayagaon,27/10/2019,28/10/2019,0
Neemrana,27/10/2019,28/10/2019,0
Nellore,27/10/2019,28/10/2019,0
New Delhi,27/10/2019,28/10/2019,3
New Delhi and NCR,27/10/2019,28/10/2019,0
Noida,27/10/2019,28/10/2019,7
Ooty,27/10/2019,28/10/2019,0
Panchgani,27/10/2019,28/10/2019,0
Panipat,27/10/2019,28/10/2019,0
Patiala,27/10/2019,28/10/2019,2
Patna,27/10/2019,28/10/2019,2
Pondicherry,27/10/2019,28/10/2019,0
Pune,27/10/2019,28/10/2019,13
Puri,27/10/2019,28/10/2019,0
Pushkar,27/10/2019,28/10/2019,0
Raipur,27/10/2019,28/10/2019,4
Rajkot,27/10/2019,28/10/2019,1
ranchi,27/10/2019,28/10/2019,2
Ratnagiri,27/10/2019,28/10/2019,0
Rewari,27/10/2019,28/10/2019,0
Rishikesh,27/10/2019,28/10/2019,1
Rohtak,27/10/2019,28/10/2019,0
Roorkee,27/10/2019,28/10/2019,0
Ropar,27/10/2019,28/10/2019,0
RourKela,27/10/2019,28/10/2019,0
Salem,27/10/2019,28/10/2019,0
Shillong,27/10/2019,28/10/2019,0
Shimla,27/10/2019,28/10/2019,0
Siliguri,27/10/2019,28/10/2019,0
Sirsa,27/10/2019,28/10/2019,0
Sonipat,27/10/2019,28/10/2019,0
Srinagar,27/10/2019,28/10/2019,0
Surat,27/10/2019,28/10/2019,1
Tarapith,27/10/2019,28/10/2019,0
Tezpur,27/10/2019,28/10/2019,0
Thanjavur,27/10/2019,28/10/2019,0
Thekkady,27/10/2019,28/10/2019,0
Thrissur,27/10/2019,28/10/2019,0
Tirupati,27/10/2019,28/10/2019,0
Tiruppur,27/10/2019,28/10/2019,0
Transit Vizag,27/10/2019,28/10/2019,0
Trichur,27/10/2019,28/10/2019,0
Trichy,27/10/2019,28/10/2019,0
Trivandrum,27/10/2019,28/10/2019,3
Udaipur,27/10/2019,28/10/2019,0
Udupi,27/10/2019,28/10/2019,0
Udupi-Manipal,27/10/2019,28/10/2019,0
Ujjain,27/10/2019,28/10/2019,0
Vadodara,27/10/2019,28/10/2019,2
Vapi,27/10/2019,28/10/2019,0
Varanasi,27/10/2019,28/10/2019,2
