Agartala,12/11/2019,13/11/2019,0
Agra,12/11/2019,13/11/2019,1
Ahmedabad,12/11/2019,13/11/2019,10
Ahmednagar,12/11/2019,13/11/2019,0
Ajmer,12/11/2019,13/11/2019,0
Alappuzha,12/11/2019,13/11/2019,0
Aligarh,12/11/2019,13/11/2019,0
Allahabad,12/11/2019,13/11/2019,1
Alwar,12/11/2019,13/11/2019,0
Ambala,12/11/2019,13/11/2019,0
Amravati,12/11/2019,13/11/2019,0
Amritsar,12/11/2019,13/11/2019,1
Anantapur,12/11/2019,13/11/2019,0
Asansol,12/11/2019,13/11/2019,0
Aurangabad,12/11/2019,13/11/2019,0
Baddi,12/11/2019,13/11/2019,0
Bangalore,12/11/2019,13/11/2019,48
Banglore,12/11/2019,13/11/2019,0
Bareilly,12/11/2019,13/11/2019,0
Bathinda,12/11/2019,13/11/2019,0
Belgaum,12/11/2019,13/11/2019,0
Bellary,12/11/2019,13/11/2019,0
Bhilai,12/11/2019,13/11/2019,0
Bhilwara,12/11/2019,13/11/2019,0
Bhiwadi,12/11/2019,13/11/2019,0
Bhopal,12/11/2019,13/11/2019,4
Bhubaneswar,12/11/2019,13/11/2019,1
Bikaner,12/11/2019,13/11/2019,0
Bilaspur,12/11/2019,13/11/2019,0
Calicut,12/11/2019,13/11/2019,0
Chandigarh,12/11/2019,13/11/2019,6
Chennai,12/11/2019,13/11/2019,33
Chikmagalur,12/11/2019,13/11/2019,0
Coimbatore,12/11/2019,13/11/2019,8
Cooch Behar,12/11/2019,13/11/2019,0
Coonoor,12/11/2019,13/11/2019,0
Coorg,12/11/2019,13/11/2019,0
Cuttack,12/11/2019,13/11/2019,0
Darjeeling,12/11/2019,13/11/2019,0
Dehradun,12/11/2019,13/11/2019,5
Delhi,12/11/2019,13/11/2019,33
Dewas,12/11/2019,13/11/2019,0
Dhanbad,12/11/2019,13/11/2019,0
Durg,12/11/2019,13/11/2019,0
Durgapur,12/11/2019,13/11/2019,0
erode,12/11/2019,13/11/2019,0
Faridabad,12/11/2019,13/11/2019,2
Gandhinagar,12/11/2019,13/11/2019,0
Gangtok,12/11/2019,13/11/2019,0
Ghaziabad,12/11/2019,13/11/2019,5
Goa,12/11/2019,13/11/2019,14
Gokarna,12/11/2019,13/11/2019,0
Gorakhpur,12/11/2019,13/11/2019,0
Guntur,12/11/2019,13/11/2019,0
Gurgaon,12/11/2019,13/11/2019,32
Guwahati,12/11/2019,13/11/2019,2
Gwalior,12/11/2019,13/11/2019,0
Haldia,12/11/2019,13/11/2019,0
Haldwani,12/11/2019,13/11/2019,0
Haridwar,12/11/2019,13/11/2019,1
Hisar,12/11/2019,13/11/2019,0
Hoshiarpur,12/11/2019,13/11/2019,0
Hospet,12/11/2019,13/11/2019,0
Hubli-Dharwad,12/11/2019,13/11/2019,1
Hyderabad,12/11/2019,13/11/2019,28
Indore,12/11/2019,13/11/2019,4
Jabalpur,12/11/2019,13/11/2019,1
Jaigaon,12/11/2019,13/11/2019,0
Jaipur,12/11/2019,13/11/2019,5
Jalandhar,12/11/2019,13/11/2019,1
Jammu,12/11/2019,13/11/2019,1
Jamnagar,12/11/2019,13/11/2019,0
Jamshedpur,12/11/2019,13/11/2019,2
Jhansi,12/11/2019,13/11/2019,0
Jharsuguda,12/11/2019,13/11/2019,0
Jodhpur,12/11/2019,13/11/2019,0
Jorhat,12/11/2019,13/11/2019,0
Kakinada,12/11/2019,13/11/2019,0
Kalimpong,12/11/2019,13/11/2019,0
Kanpur,12/11/2019,13/11/2019,2
Karimnagar,12/11/2019,13/11/2019,0
Karnal,12/11/2019,13/11/2019,0
Kashipur,12/11/2019,13/11/2019,0
Katra,12/11/2019,13/11/2019,0
Khammam,12/11/2019,13/11/2019,0
Khekkady,12/11/2019,13/11/2019,0
Kochi,12/11/2019,13/11/2019,2
Kodaikanal,12/11/2019,13/11/2019,0
Kolhapur,12/11/2019,13/11/2019,1
Kolkata,12/11/2019,13/11/2019,11
Kollam,12/11/2019,13/11/2019,0
Kota,12/11/2019,13/11/2019,0
Kottayam,12/11/2019,13/11/2019,0
Kumbhalgarh,12/11/2019,13/11/2019,0
Lonavala,12/11/2019,13/11/2019,1
Lucknow,12/11/2019,13/11/2019,9
Ludhiana,12/11/2019,13/11/2019,1
Madurai,12/11/2019,13/11/2019,0
Mahabalipuram,12/11/2019,13/11/2019,0
Manali,12/11/2019,13/11/2019,0
Manesar,12/11/2019,13/11/2019,0
Mangalore,12/11/2019,13/11/2019,1
Mathura,12/11/2019,13/11/2019,0
Meerut,12/11/2019,13/11/2019,0
Mohali,12/11/2019,13/11/2019,1
Mount-Abu,12/11/2019,13/11/2019,0
Mumbai,12/11/2019,13/11/2019,17
Mussoorie,12/11/2019,13/11/2019,0
Muzaffarpur,12/11/2019,13/11/2019,0
Mysore,12/11/2019,13/11/2019,1
Nagpur,12/11/2019,13/11/2019,6
Nashik,12/11/2019,13/11/2019,0
Nayagaon,12/11/2019,13/11/2019,0
Neemrana,12/11/2019,13/11/2019,0
Nellore,12/11/2019,13/11/2019,0
New Delhi,12/11/2019,13/11/2019,3
New Delhi and NCR,12/11/2019,13/11/2019,0
Noida,12/11/2019,13/11/2019,7
Ooty,12/11/2019,13/11/2019,0
Panchgani,12/11/2019,13/11/2019,0
Panipat,12/11/2019,13/11/2019,0
Patiala,12/11/2019,13/11/2019,2
Patna,12/11/2019,13/11/2019,2
Pondicherry,12/11/2019,13/11/2019,0
Pune,12/11/2019,13/11/2019,13
Puri,12/11/2019,13/11/2019,0
Pushkar,12/11/2019,13/11/2019,0
Raipur,12/11/2019,13/11/2019,3
Rajkot,12/11/2019,13/11/2019,2
ranchi,12/11/2019,13/11/2019,2
Ratnagiri,12/11/2019,13/11/2019,0
Rewari,12/11/2019,13/11/2019,0
Rishikesh,12/11/2019,13/11/2019,1
Rohtak,12/11/2019,13/11/2019,0
Roorkee,12/11/2019,13/11/2019,0
Ropar,12/11/2019,13/11/2019,0
RourKela,12/11/2019,13/11/2019,0
Salem,12/11/2019,13/11/2019,0
Shillong,12/11/2019,13/11/2019,0
Shimla,12/11/2019,13/11/2019,0
Siliguri,12/11/2019,13/11/2019,0
Sirsa,12/11/2019,13/11/2019,0
Sonipat,12/11/2019,13/11/2019,0
Srinagar,12/11/2019,13/11/2019,0
Surat,12/11/2019,13/11/2019,1
Tarapith,12/11/2019,13/11/2019,0
Tezpur,12/11/2019,13/11/2019,0
Thanjavur,12/11/2019,13/11/2019,0
Thekkady,12/11/2019,13/11/2019,0
Thrissur,12/11/2019,13/11/2019,0
Tirupati,12/11/2019,13/11/2019,0
Tiruppur,12/11/2019,13/11/2019,0
Transit Vizag,12/11/2019,13/11/2019,0
Trichur,12/11/2019,13/11/2019,0
Trichy,12/11/2019,13/11/2019,0
Trivandrum,12/11/2019,13/11/2019,3
Udaipur,12/11/2019,13/11/2019,0
Udupi,12/11/2019,13/11/2019,0
Udupi-Manipal,12/11/2019,13/11/2019,0
Ujjain,12/11/2019,13/11/2019,0
Vadodara,12/11/2019,13/11/2019,2
Vapi,12/11/2019,13/11/2019,0
Varanasi,12/11/2019,13/11/2019,0
Velankanni,12/11/2019,13/11/2019,0
Vellore,12/11/2019,13/11/2019,0
Vijayawada,12/11/2019,13/11/2019,1
Vijaywada,12/11/2019,13/11/2019,1
Visakhapatnam,12/11/2019,13/11/2019,1
Warangal,12/11/2019,13/11/2019,0
